filename,orig_x0,orig_x1,orig_y0,orig_y1,rms_contrast,michelson_contrast
N1474006650_1_CALIB.LBL,628,658,344,374,0.12712927143125013,0.27766482010640636
N1474006650_1_CALIB.LBL,820,850,416,446,0.11951332189570417,0.2761250722928178
N1474006650_1_CALIB.LBL,966,996,528,558,0.07901232090571558,0.19992739418907485
N1474006650_1_CALIB.LBL,971,1001,591,621,0.05241228414437556,0.14185711528268466
N1474006650_1_CALIB.LBL,325,355,564,594,0.02567344192589548,0.07695652966059327
N1474005441_1_CALIB.LBL,66,96,448,478,0.10227291021487245,0.2345138916271606
N1474005441_1_CALIB.LBL,182,212,486,516,0.1039006364049815,0.2682156529803975
N1474005441_1_CALIB.LBL,376,406,538,568,0.1225510744866098,0.2989200330744538
N1474005441_1_CALIB.LBL,32,62,418,448,0.12458927406249973,0.2797140674684831
N1474005441_1_CALIB.LBL,22,52,408,438,0.12393042377405747,0.275052962971695
N1474001895_1_CALIB.LBL,220,250,9,39,0.016890023685487407,0.04555254825030508
N1473715176_1_CALIB.LBL,560,590,88,118,0.03352672807211468,0.08541797266522874
N1473715176_1_CALIB.LBL,728,753,730,753,0.013568144262982515,0.036175443067879856
N1473721618_1_CALIB.LBL,211,238,128,154,0.035955644020526506,0.07991149297584244
N1473721013_1_CALIB.LBL,777,807,555,585,0.07323866866403106,0.17493559531160582
N1473721013_1_CALIB.LBL,881,911,612,642,0.06971735758544523,0.1669089844809331
N1473721013_1_CALIB.LBL,965,995,664,694,0.0595281516813453,0.15961979043231228
N1473721013_1_CALIB.LBL,283,313,430,460,0.07525743763695536,0.16986084264508233
N1473721013_1_CALIB.LBL,468,498,484,514,0.06258344472044505,0.14080670148103883
N1473721013_1_CALIB.LBL,272,302,423,453,0.08096864060518368,0.17099669904570428
N1473721013_1_CALIB.LBL,262,292,428,458,0.07376837382823112,0.1800361006880071
N1473721013_1_CALIB.LBL,473,503,519,549,0.051365667429128105,0.12167957879264422
N1473721013_1_CALIB.LBL,945,975,636,666,0.06627562142698677,0.15058820641541254
N1473721013_1_CALIB.LBL,807,837,559,589,0.07476410816757757,0.18442689485201091
N1473714949_1_CALIB.LBL,633,663,142,172,0.04049442834581704,0.11189889774676158
N1473714949_1_CALIB.LBL,766,796,196,226,0.041793789908292814,0.10442760634343194
N1473714949_1_CALIB.LBL,474,504,549,579,0.015398563418136325,0.03878134045954013
N1473714949_1_CALIB.LBL,739,769,525,555,0.018130703600259375,0.049925829176383045
