filename,orig_x0,orig_x1,orig_y0,orig_y1,mean,std,skew,kurt,pval
N1474006650_1_CALIB.LBL,628,658,344,374,-2.0696058e-12,0.00036793633,-0.05371770262718201,2.7942416223756195,0.9992718090374636
N1474006650_1_CALIB.LBL,820,850,416,446,-2.0696058e-12,0.00034292517,0.03002418391406536,2.9038074196175874,0.944572397999782
N1474006650_1_CALIB.LBL,966,996,528,558,1.5522043e-12,0.0004585369,0.04578780382871628,2.9072027910883405,0.8882262046979393
N1474006650_1_CALIB.LBL,971,1001,591,621,9.3132255e-12,0.0005585472,0.0543159656226635,2.9192931856943876,0.930820305349705
N1474006650_1_CALIB.LBL,325,355,564,594,5.6914157e-12,0.00071420916,-0.16041500866413116,2.899799606857671,0.926285497826372
N1474005441_1_CALIB.LBL,66,96,448,478,-2.0696058e-12,0.00039908217,0.0015525815542787313,2.802343260734929,0.9940841412842665
N1474005441_1_CALIB.LBL,182,212,486,516,-1.810905e-12,0.00038002979,0.056443873792886734,2.9509177842498158,0.9921183066979364
N1474005441_1_CALIB.LBL,376,406,538,568,2.0696058e-12,0.00034264324,-0.019657159224152565,2.7616864868695523,0.9817406926033265
N1474005441_1_CALIB.LBL,32,62,418,448,-2.0696058e-12,0.00036924295,0.09239763766527176,3.085585438672169,0.9821285136235305
N1474005441_1_CALIB.LBL,22,52,408,438,-2.0696058e-12,0.00035206293,0.12399217486381531,2.8662976265352054,0.9352303241694184
N1474001895_1_CALIB.LBL,220,250,9,39,3.1044087e-12,0.0011460263,0.003999128006398678,2.897767947363862,0.9814763779615204
N1473715176_1_CALIB.LBL,560,590,88,118,-4.1392115e-12,0.0010838204,0.07004512846469879,2.7825804767251805,0.9487494553348079
N1473715176_1_CALIB.LBL,728,753,730,753,-3.239383e-12,0.0020138395,-0.012218435294926167,3.067021700794779,0.8174324476932844
N1473721618_1_CALIB.LBL,211,238,128,154,3.980011e-12,0.0010649037,-0.05884156376123428,2.922164384818998,0.9549980635335222
N1473721013_1_CALIB.LBL,777,807,555,585,0.0,0.0013187145,-0.07045380026102066,2.8790688035444068,0.9250599636724833
N1473721013_1_CALIB.LBL,881,911,612,642,2.0696058e-12,0.0012563415,0.010514195077121258,2.825198809203299,0.8188599223097022
N1473721013_1_CALIB.LBL,965,995,664,694,4.1392115e-12,0.001344618,-0.011154990643262863,2.9652694768872965,0.9799700903912523
N1473721013_1_CALIB.LBL,283,313,430,460,2.6387474e-11,0.001405822,0.004562991671264172,3.035267634354317,0.9511834274524975
N1473721013_1_CALIB.LBL,468,498,484,514,-1.6556846e-11,0.001474623,-0.00893424078822136,2.9967375781930574,0.8872144629974689
N1473721013_1_CALIB.LBL,272,302,423,453,-6.2088173e-12,0.0013915274,-0.05090029165148735,3.1537993063818712,0.9113061050609712
N1473721013_1_CALIB.LBL,262,292,428,458,-2.483527e-11,0.001390469,-0.023969417437911034,3.051968106767128,0.9842524353460879
N1473721013_1_CALIB.LBL,473,503,519,549,0.0,0.0014613889,-0.06611640006303787,2.9266241453481507,0.9399280209870392
N1473721013_1_CALIB.LBL,945,975,636,666,0.0,0.0012578651,0.07744117081165314,2.7927297254640573,0.8865397050395297
N1473721013_1_CALIB.LBL,807,837,559,589,8.278423e-12,0.0011758219,0.09713881462812424,2.9912043965310127,0.9323324766085622
N1473714949_1_CALIB.LBL,633,663,142,172,4.1392115e-12,0.0019551772,0.09505152702331543,2.9936263341857807,0.9267257952763749
N1473714949_1_CALIB.LBL,766,796,196,226,2.0696058e-12,0.0016540365,0.03745197132229805,2.856860701624965,0.928982584703849
N1473714949_1_CALIB.LBL,474,504,549,579,5.380975e-11,0.003474693,-0.07476237416267395,2.8321339601227367,0.9109534326235778
N1473714949_1_CALIB.LBL,739,769,525,555,2.0696058e-12,0.002785471,-0.032585401087999344,3.198713082258452,0.9916134540286139
N1473725070_1_CALIB.LBL,266,296,800,830,1.0348029e-12,0.0004901316,0.02498973347246647,3.0067376306084275,0.9576120433501957
N1473727285_1_CALIB.LBL,885,915,60,90,8.278423e-12,0.0013567356,-0.05296865105628967,3.3055917810119673,0.9591610669397655
N1473727285_1_CALIB.LBL,997,1020,359,389,-5.3989716e-12,0.0017826402,0.010170336812734604,3.219370068900585,0.8032179025956991
N1473727285_1_CALIB.LBL,412,442,354,384,-4.1392115e-12,0.0018690211,0.017825555056333542,3.1185985405832763,0.9968213735435194
N1473727285_1_CALIB.LBL,989,1019,530,560,3.3113692e-11,0.0019102219,-0.016836248338222504,3.064303657478012,0.9506120987109374
N1473726373_1_CALIB.LBL,301,331,429,459,-2.0696058e-12,0.00039386872,-0.023065831512212753,2.819120082337337,0.9849405740139116
N1473726373_1_CALIB.LBL,576,606,567,597,1.0348029e-12,0.00045603383,-0.020131679251790047,2.8315834967643294,0.9513968643727421
N1473726373_1_CALIB.LBL,933,963,673,703,-5.1740144e-13,0.00038592095,-0.06410197913646698,2.9460804989520177,0.7603380388065056
N1473726373_1_CALIB.LBL,468,498,606,636,-2.0696058e-12,0.00059160346,0.034450218081474304,2.8431022077252255,0.9520477607844213
N1473725976_1_CALIB.LBL,797,827,166,196,-2.0696058e-12,0.0009505661,-0.032204292714595795,2.875096821724031,0.7783434362358388
N1473725976_1_CALIB.LBL,634,664,89,119,-6.2088173e-12,0.0010196185,0.02593669854104519,2.9667620858041825,0.9034034912378293
N1473715224_1_CALIB.LBL,620,650,96,126,-5.1740144e-13,0.0005784183,-0.06475044786930084,3.1380992752092984,0.927656544636738
N1473721013_1_CALIB.LBL,479,509,527,557,1.0348029e-11,0.0014999409,0.009863262064754963,2.878250870529967,0.9736364857783641
N1473721013_1_CALIB.LBL,754,784,525,555,-4.1392115e-12,0.0010834901,-0.00624956376850605,2.989104700029262,0.9920275671621728
N1473721013_1_CALIB.LBL,869,899,637,667,2.0696058e-12,0.0013332925,-0.0240909643471241,2.9173429525202543,0.9698077995600676
N1473721013_1_CALIB.LBL,521,551,528,558,8.278423e-12,0.001498103,-0.048331521451473236,2.829701722261009,0.9969124199342181
N1473721013_1_CALIB.LBL,486,510,521,551,-3.880511e-12,0.0015134469,-0.03529874607920647,2.952721731435053,0.997947338317872
N1473714949_1_CALIB.LBL,728,758,150,180,8.278423e-12,0.0016578505,-0.11411822587251663,2.9440465721661626,0.9826769589905046
N1473714949_1_CALIB.LBL,544,574,86,116,-6.2088173e-12,0.0019509651,-0.017326490953564644,3.1190193885106208,0.9702273263720407
N1473714949_1_CALIB.LBL,683,713,124,154,6.2088173e-12,0.0016183385,0.044670045375823975,3.0627532149988297,0.9837608736974764
N1473714949_1_CALIB.LBL,158,188,800,830,-8.278423e-12,0.0042555146,0.08122041076421738,3.0284643836669902,0.9156477326060393
N1473714949_1_CALIB.LBL,23,53,889,919,1.6556846e-11,0.0039950726,-0.02105627954006195,3.0504508866557276,0.9988213041970027
N1473727285_1_CALIB.LBL,978,1008,59,89,-4.1392115e-12,0.0014978449,0.00010865521471714601,3.096916024572554,0.9979515328861662
N1473727285_1_CALIB.LBL,590,620,22,52,-6.2088173e-12,0.0015834572,-0.011962860822677612,2.987169035252886,0.9235214087278845
N1473727285_1_CALIB.LBL,799,829,199,229,2.0696058e-12,0.0016083537,-0.11036261171102524,3.1351506518415,0.9501253789448376
N1473727285_1_CALIB.LBL,977,1007,469,499,-2.0696058e-12,0.0018751123,-0.05737404525279999,3.0637101626279,0.967009847976788
N1473727285_1_CALIB.LBL,989,1019,235,265,1.6556846e-11,0.0015638075,0.03141237795352936,3.1853541085892454,0.9472177383901702
N1473726373_1_CALIB.LBL,478,508,643,673,1.5522043e-12,0.0006934337,0.0881347581744194,2.957454228030584,0.959969237528664
N1473726373_1_CALIB.LBL,469,499,976,1006,3.1044087e-12,0.0010215928,-0.03339298069477081,2.9714779013152404,0.935759047792151
N1473725976_1_CALIB.LBL,317,347,540,570,1.2417635e-11,0.0017520653,0.01650903932750225,3.034899948686246,0.9746054899322851
N1473725976_1_CALIB.LBL,346,376,537,567,0.0,0.0017199344,-0.06274901330471039,3.0879242609078243,0.8971350443102846
N1473725976_1_CALIB.LBL,553,583,55,85,-3.1044087e-12,0.0010099907,-0.046020425856113434,2.91367735181582,0.8660603105278459
N1473725976_1_CALIB.LBL,632,662,165,195,1.0348029e-12,0.0011823339,0.04358245059847832,3.0565989192581235,0.9907191743375353
N1473725976_1_CALIB.LBL,764,794,236,266,4.1392115e-12,0.0011469446,-0.03644620627164841,2.8213754428745697,0.8806453143349426
N1473715224_1_CALIB.LBL,746,776,151,181,-1.2935036e-12,0.00054894475,-0.07458918541669846,2.909956584378318,0.9248855277705365
N1473715224_1_CALIB.LBL,542,572,89,119,2.5870072e-12,0.000643653,0.10731928795576096,3.079088505539071,0.9059294090526744
N1473715224_1_CALIB.LBL,36,66,16,46,1.0348029e-12,0.0008099219,-0.07972981035709381,2.9910237191166686,0.9928119962861075
N1473715224_1_CALIB.LBL,738,768,186,216,2.0696058e-12,0.0005982632,-0.020874612033367157,3.0779289430384145,0.9726718032292728
N1473725479_1_CALIB.LBL,154,184,554,584,5.1740144e-13,0.00037518854,0.029708944261074066,2.814397138293818,0.9321198145429977
